0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A11000,文芸,9784000226301,グロウブ号の冒険－附ユートピア,井上　ひさし　著　　,岩波書店　　　,20110401,1900,2401,聖蹟桜ヶ丘店,20110416,0,0,2,99
A11000,文芸,9784396634162,ライオンの棲む街　　　　　　　,東川　篤哉　著　　　,祥伝社　　　　,20130801,1400,2401,聖蹟桜ヶ丘店,20130910,20130922,2,2,1074
A11024,文芸,9784087815207,愛する伴侶を失って　加賀乙彦と,加賀　乙彦　著　　　,集英社　　　　,20130601,1200,2401,聖蹟桜ヶ丘店,20130919,20130910,2,3,290
A11024,生活,9784537259117,ひとり家飲み通い呑み　　　　　,久住　昌之　著　　　,日本文芸社　　,20120101,1200,2401,聖蹟桜ヶ丘店,20130309,20130910,2,2,252
A13003,文芸,9784309622071,たんぽぽ娘　　　　　　　　　　,Ｒ．Ｆ．ヤング　著　,河出書房新社　,20130501,1900,2401,聖蹟桜ヶ丘店,20130701,20130914,1,2,378
A15014,文芸,9784775311035,実践！ショートショートで鍛える,榎本　秋　著　　　　,新紀元社　　　,20130401,950,2401,聖蹟桜ヶ丘店,20130329,0,0,2,67
A21101,教養,9784344023680,開戦前夜　ゴーマニズム宣言　Ｒ,小林　よしのり　著　,幻冬舎　　　　,20130401,1400,2401,聖蹟桜ヶ丘店,20130515,20130527,5,2,1520
A21503,教養,9784800211569,「ずっとそばにいたい」と思われ,井上　裕之　著　　　,宝島社　　　　,20130901,1300,2401,聖蹟桜ヶ丘店,20130918,0,0,2,227
A21510,コミック,9784091854681,深夜食堂　　１１　　　　　　　,安倍　夜郎　著　　　,小学館　　　　,20130730,762,2401,聖蹟桜ヶ丘店,20130730,20131102,8,2,4347
A21510,コミック,9784582287738,ＳＷＡＮ－白鳥－　モスクワ編　,有吉　京子　著　　　,平凡社　　　　,20110101,629,2401,聖蹟桜ヶ丘店,20130126,20130722,23,2,3701
A21510,コミック,9784582287745,ＳＷＡＮ－白鳥－　モスクワ編　,有吉　京子　著　　　,平凡社　　　　,20120101,629,2401,聖蹟桜ヶ丘店,20130302,20130722,17,2,3485
A21510,コミック,9784582287752,ＳＷＡＮ－白鳥－　モスクワ編　,有吉　京子　著　　　,平凡社　　　　,20130101,629,2401,聖蹟桜ヶ丘店,20130306,20130907,13,2,2876
A21510,文庫,9784122031562,はだしのゲン　　　１　　　　　,中沢　啓司　　　　　,中央公論新社　,19980501,705,2401,聖蹟桜ヶ丘店,20130918,20130919,12,6,1879
